Region_key,Bookmaker_key,Bookmaker
us,barstool,Barstool Sportsbook
us,betonlineag,BetOnline.ag
us,betfair,Betfair Exchange
us,betmgm,BetMGM
us,betrivers,BetRivers
us,betus,BetUS
us,bovada,Bovada
us,circasports,Circa Sports
us,draftkings,DraftKings
us,fanduel,FanDuel
us,foxbet,FOX Bet
us,lowvig,LowVig.ag
us,mybookieag,MyBookie.ag
us,pointsbetus,PointsBet
us,sugarhouse,SugarHouse
us,superbook,SuperBook
us,twinspires,TwinSpires
us,unibet_us,Unibet
us,williamhill_us,William Hill
us,wynnbet,WynnBET
us2,ballybet,Bally Bet
us2,betparx,betPARX
us2,tipico_us,Tipico
